epoch,train_loss,test_loss
1,13289.139297485352,2926.3879013061523
2,6466.710567474365,1327.6626663208008
3,2752.3218212127686,514.3757095336914
4,1094.4367742538452,231.31639575958252
5,626.146050453186,180.4420337677002
6,533.6318597793579,164.70657539367676
7,486.16947412490845,150.16224813461304
8,441.74177980422974,135.76411533355713
9,397.9982900619507,121.67712545394897
10,355.14215183258057,108.03053903579712
11,313.11094427108765,94.27686595916748
12,271.49033522605896,80.689049243927
13,229.84332489967346,67.13612461090088
14,187.77072882652283,53.43057608604431
15,145.5555591583252,39.784528970718384
16,104.18719565868378,26.762986421585083
17,66.46903723478317,15.523213982582092
18,36.39132297039032,7.596937745809555
19,17.59551428258419,3.5559003055095673
20,9.281274750828743,2.1389186531305313
21,6.567242134362459,1.7846646420657635
22,5.8226465210318565,1.6845574639737606
23,5.556523784995079,1.6349358297884464
24,5.3820635341107845,1.592085536569357
25,5.227523058652878,1.550630509853363
26,5.083858821541071,1.5091825798153877
27,4.9455328322947025,1.4713327251374722
28,4.824661631137133,1.4318949356675148
29,4.690583202987909,1.3955268748104572
30,4.568963255733252,1.3619752824306488
31,4.449374094605446,1.333266954869032
32,4.3412464782595634,1.2983997836709023
33,4.237421374768019,1.2717454582452774
34,4.135677050799131,1.2412235885858536
35,4.0451275780797005,1.2147632390260696
36,3.949546556919813,1.190549436956644
37,3.864707164466381,1.166384544223547
38,3.7825732715427876,1.1458246670663357
39,3.706882830709219,1.123779021203518
40,3.6329477094113827,1.1026234291493893
41,3.5639195442199707,1.0870213396847248
42,3.495469406247139,1.065851103514433
43,3.433300219476223,1.0502813532948494
44,3.3743591997772455,1.0329904444515705
45,3.3201396632939577,1.018348578363657
46,3.2644262947142124,1.0037228241562843
47,3.213027572259307,0.9911716356873512
48,3.1650256235152483,0.9800924099981785
49,3.1189755499362946,0.9649887047708035
50,3.0738545656204224,0.9533546790480614
